"","recipient_name","product_or_service_code_description","total_obligated_amount","current_total_value_of_award","award_base_action_date","award_latest_action_date","period_of_performance_start_date","period_of_performance_current_end_date","primary_place_of_performance_state_name","naics_description","prime_award_base_transaction_description"
"26","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",3294,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"27","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",6589,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"28","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",40950,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"29","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",123480,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"30","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",42840,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"31","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",21840,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"32","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",26880,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"33","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",34650,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"34","THERMAL TECHNOLIGIES, INC","AIR CONDITIONING EQUIPMENT",13744,NA,"3/15/03","5/31/17","3/15/03","6/15/03","DISTRICT OF COLUMBIA","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING",""
"35","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",22394,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"36","IDENTIX INCORPORATED","MISCELLANEOUS MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT",5640,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS",""
"37","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-168210,NA,"1/15/03","5/31/17","1/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"38","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",136415,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"39","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-60060,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"40","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",1680,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"41","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",23468,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"42","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",4410,NA,"3/15/03","5/31/17","3/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"43","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",32321,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"44","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-48672,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"45","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-38610,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"46","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-41184,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"47","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-48672,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"48","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-38610,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"49","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-27333,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"50","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-12870,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"51","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",136415,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"52","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",19578,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"53","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",10817,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"54","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",6985,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"55","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-128466,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"56","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-128466,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"57","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",5625,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"58","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",10835,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"59","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",10957,NA,"4/15/03","5/31/17","4/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"60","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-34749,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"61","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",5442,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"62","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",5442,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"63","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-27510,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"64","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-27510,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"65","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",6084,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"66","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",19677,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"67","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",19677,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"68","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",2783,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"69","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",0,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"70","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",1103,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"71","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-30450,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"72","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-12180,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"73","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",39354,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"74","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",19677,NA,"5/15/03","5/31/17","5/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"75","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",12063,NA,"7/15/03","5/31/17","7/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"76","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",12063,NA,"7/15/03","5/31/17","7/15/03","5/31/17","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"77","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-350,NA,"7/15/03","5/31/17","7/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"78","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-18060,NA,"7/15/03","5/31/17","7/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"79","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",17719,NA,"7/15/03","5/31/17","7/15/03","5/31/17","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"80","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-21840,NA,"7/15/03","5/31/17","7/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"81","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",20820,NA,"7/15/03","5/31/17","7/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"82","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-1799,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"83","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-1199,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"84","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",10717,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"85","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-3294,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"86","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-8636,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"87","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",10710,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"88","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",211,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"89","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-13860,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"90","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-945,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"91","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-827,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"92","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-12915,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"93","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-4942,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"94","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-7808,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"95","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",5221,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"96","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",8190,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"97","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",8190,NA,"8/15/03","5/31/17","8/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"98","CASWELL INTERNATIONAL  CORPORA","HOUSEKEEPING- GUARD",18950,NA,"9/15/03","5/31/17","9/15/03","12/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"99","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",13178,NA,"9/15/03","5/31/17","9/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"100","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-12183,NA,"9/15/03","5/31/17","9/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"101","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-3790,NA,"9/15/03","5/31/17","9/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"102","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-16269,NA,"9/15/03","5/31/17","9/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"103","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",-766,NA,"9/15/03","5/31/17","9/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"104","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",3674,NA,"9/15/03","5/31/17","9/15/03","9/15/03","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"105","GENERAL SECURITY SERVICES CORPORATION","HOUSEKEEPING- GUARD",115290,NA,"9/15/03","5/31/17","9/15/03","3/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"106","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",13254,NA,"6/15/03","5/31/17","6/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"107","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",44052,NA,"6/15/03","5/31/17","6/15/03","5/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"108","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",11233,NA,"6/15/03","5/31/17","6/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"109","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",41584,NA,"6/15/03","5/31/17","6/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"110","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",41117,NA,"6/15/03","5/31/17","6/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"111","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",368.97,NA,"10/8/03","5/31/17","10/8/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"112","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",41114,NA,"6/15/03","5/31/17","6/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"113","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",44051,NA,"6/15/03","5/31/17","6/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"114","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",46987,NA,"6/15/03","5/31/17","6/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"115","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",0,NA,"3/18/04","5/31/17","3/18/04","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRGINIA"
"116","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",105.42,NA,"12/3/03","5/31/17","12/3/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VIRINIA"
"117","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",46987,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
"118","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",120.48,NA,"12/3/03","5/31/17","12/3/03","5/31/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES","GUARD SERVICES VINGINIA"
"119","IDS INTERNATIONAL, LLC","HOUSEKEEPING- GUARD",41114,NA,"7/15/03","5/31/17","7/15/03","6/15/04","DISTRICT OF COLUMBIA","SECURITY GUARDS AND PATROL SERVICES",""
